league,season,matchId,goalsFor,goalsAgainst,totalGoalsBeforeAvg,totalGoalsAgainstBeforeAvg,opponentTotalGoalsBeforeAvg,opponentTotalGoalsAgainstBeforeAvg
bl3,2016,40520,0,1,0.84,1.56,0.92,1.4
bl3,2016,40472,1,2,0.7666666666666667,1.4666666666666666,1.5333333333333334,1.3333333333333333
bl3,2016,40463,2,4,0.7741935483870968,1.4838709677419355,1.096774193548387,1.096774193548387
bl3,2016,40452,1,2,0.8125,1.5625,1.375,1.25
bl3,2016,40441,3,2,0.8181818181818182,1.5757575757575757,0.9090909090909091,0.8484848484848485
bl3,2016,40432,2,1,0.8823529411764706,1.588235294117647,1.0294117647058822,1.1470588235294117
bl3,2016,40419,2,0,0.9142857142857143,1.5714285714285714,1.4285714285714286,0.8857142857142857
bl3,2016,40412,3,3,0.9444444444444444,1.5277777777777777,1.1944444444444444,1.1666666666666667
bl3,2016,40397,4,0,1,1.5675675675675675,1,1.4864864864864864
bl3,2016,40130,2,3,1.8,1.2,1.4,1
bl3,2016,40146,2,2,1.8333333333333333,1.5,1.1666666666666667,1
bl3,2016,40148,0,4,1.8571428571428572,1.5714285714285714,0.8571428571428571,1.7142857142857142
bl3,2016,40167,3,0,1.625,1.875,1.75,1.75
bl3,2016,40177,2,1,1.7777777777777777,1.6666666666666667,1.5555555555555556,1.3333333333333333
bl3,2016,40252,1,1,1.5833333333333333,1.6666666666666667,1.4166666666666667,1.3333333333333333
bl3,2016,40258,1,3,1.5384615384615385,1.6153846153846154,0.9230769230769231,1.8461538461538463
bl3,2016,40394,3,1,1.5555555555555556,1.5555555555555556,1.1111111111111112,1.1111111111111112
bl3,2016,40584,0,0,1.631578947368421,1.5263157894736843,1.263157894736842,1.105263157894737
bl3,2016,40572,1,1,1.55,1.45,1.55,1.25
bl3,2016,40564,1,1,1.5238095238095237,1.4285714285714286,1.0476190476190477,0.7142857142857143
bl3,2016,40550,2,1,1.5,1.4090909090909092,1.2272727272727273,0.9545454545454546
bl3,2016,40544,2,1,1.5217391304347827,1.391304347826087,1.173913043478261,0.9130434782608695
bl3,2016,40528,2,0,1.5416666666666667,1.375,1.5454545454545454,1.1363636363636365
bl3,2016,40524,2,2,1.56,1.32,0.96,1.52
bl3,2016,40506,1,2,1.5769230769230769,1.3461538461538463,1.1153846153846154,1.3461538461538463
bl3,2016,40504,2,0,1.5555555555555556,1.3703703703703705,0.9629629629629629,1.6666666666666667
bl3,2016,40494,1,2,1.5714285714285714,1.3214285714285714,1.3571428571428572,1.2142857142857142
bl3,2016,40464,2,1,1.5483870967741935,1.3225806451612903,1.3870967741935485,0.9032258064516129
bl3,2016,40450,3,1,1.5625,1.3125,0.8064516129032258,1.2903225806451613
bl3,2016,40404,1,0,1.6486486486486487,1.3513513513513513,1.3243243243243243,1.135135135135135
bl3,2016,40133,1,2,0.4,1,0.8,1.2
bl3,2016,40137,2,3,0.5,1.1666666666666667,1,1.5
bl3,2016,40152,1,4,0.7142857142857143,1.4285714285714286,0.8571428571428571,1.4285714285714286
bl3,2016,40158,4,0,0.75,1.75,1.125,1.875
bl3,2016,40172,0,1,1.1111111111111112,1.5555555555555556,1.3333333333333333,1
bl3,2016,40236,0,1,1.0909090909090908,1.5454545454545454,1.4545454545454546,1.1818181818181819
bl3,2016,40255,1,0,1,1.4615384615384615,1.0769230769230769,1.6153846153846154
bl3,2016,40292,1,0,1.2,1.2666666666666666,1.0666666666666667,1.7333333333333334
bl3,2016,40375,0,1,1.1764705882352942,1.1176470588235294,1.0588235294117647,2.0588235294117645
bl3,2016,40575,0,3,1.105263157894737,1.2105263157894737,1.368421052631579,1.1578947368421053
bl3,2016,40573,3,1,1.05,1.3,1.2,1.05
bl3,2016,40552,3,0,1.1818181818181819,1.3636363636363635,1.5,1.2272727272727273
bl3,2016,40531,1,1,1.25,1.375,0.9583333333333334,0.75
bl3,2016,40515,0,1,1.24,1.36,1.48,1.04
bl3,2016,40510,2,1,1.1923076923076923,1.3461538461538463,1.1153846153846154,1.0384615384615385
bl3,2016,40495,1,0,1.2222222222222223,1.3333333333333333,0.8888888888888888,1.3333333333333333
bl3,2016,40489,2,1,1.2142857142857142,1.2857142857142858,1.3214285714285714,0.8928571428571429
bl3,2016,40468,1,0,1.2,1.2666666666666666,1.3,1.1
bl3,2016,40447,4,2,1.15625,1.1875,1,1.375
bl3,2016,40426,5,1,1.2058823529411764,1.1764705882352942,1.2647058823529411,1.2647058823529411
bl3,2016,40405,0,1,1.3611111111111112,1.1388888888888888,1.0277777777777777,1.5833333333333333
bl3,2016,40153,0,2,1.2857142857142858,1.8571428571428572,1.2857142857142858,1.5714285714285714
bl3,2016,40289,1,1,1.0714285714285714,1.7857142857142858,1.2857142857142858,0.7857142857142857
bl3,2016,40296,1,0,1.0666666666666667,1.7333333333333334,1.5333333333333334,1.2666666666666666
bl3,2016,40371,0,2,1.0625,1.625,1.0625,0.8125
bl3,2016,40380,0,0,1,1.6470588235294117,1.411764705882353,0.9411764705882353
bl3,2016,40389,0,3,0.9444444444444444,1.5555555555555556,1.0555555555555556,0.9444444444444444
bl3,2016,40580,2,1,0.8947368421052632,1.631578947368421,1.4210526315789473,1.2105263157894737
bl3,2016,40567,1,1,0.95,1.6,1.05,1.4
bl3,2016,40560,1,2,0.9523809523809523,1.5714285714285714,1.0476190476190477,1.4285714285714286
bl3,2016,40545,1,0,0.9545454545454546,1.5909090909090908,1.0909090909090908,1.7272727272727273
bl3,2016,40540,1,0,0.9565217391304348,1.5217391304347827,1.391304347826087,1.2608695652173914
bl3,2016,40511,0,1,0.9230769230769231,1.3461538461538463,1.4615384615384615,1
bl3,2016,40443,0,2,0.7878787878787878,1.3636363636363635,1.1818181818181819,1.121212121212121
bl3,2016,40430,0,0,0.7647058823529411,1.3823529411764706,1.3823529411764706,1.2647058823529411
bl3,2016,40421,1,1,0.7428571428571429,1.3428571428571427,0.9428571428571428,0.9142857142857143
bl3,2016,40410,4,0,0.75,1.3333333333333333,1.0277777777777777,1.1666666666666667
bl3,2016,40399,1,0,0.8378378378378378,1.2972972972972974,1.4054054054054055,0.9459459459459459
bl3,2016,40259,1,1,1.3846153846153846,1.3076923076923077,1.3076923076923077,0.7692307692307693
bl3,2016,40288,3,1,1.3571428571428572,1.2857142857142858,1.5714285714285714,1.1428571428571428
bl3,2016,40297,1,0,1.4666666666666666,1.2666666666666666,1.1333333333333333,0.8
bl3,2016,40370,1,0,1.4375,1.1875,1.5,0.9375
bl3,2016,40381,3,0,1.411764705882353,1.1176470588235294,1.1176470588235294,0.8235294117647058
bl3,2016,40388,3,1,1.5,1.0555555555555556,1.4444444444444444,1.1111111111111112
bl3,2016,40581,1,2,1.5789473684210527,1.0526315789473684,1,1.4210526315789473
bl3,2016,40566,1,1,1.55,1.1,1.05,1.45
bl3,2016,40561,1,1,1.5238095238095237,1.0952380952380953,1.0952380952380953,1.7619047619047619
bl3,2016,40554,3,0,1.5,1.0909090909090908,1.4545454545454546,1.1818181818181819
bl3,2016,40451,1,1,1.375,0.9375,1.1875,1.125
bl3,2016,40442,2,1,1.3636363636363635,0.9393939393939394,1.393939393939394,1.2424242424242424
bl3,2016,40431,1,1,1.3823529411764706,0.9411764705882353,0.9411764705882353,0.9117647058823529
bl3,2016,40420,1,1,1.3714285714285714,0.9428571428571428,1.0285714285714285,1.1714285714285715
bl3,2016,40411,2,2,1.3611111111111112,0.9444444444444444,1.3888888888888888,0.9166666666666666
bl3,2016,40398,2,0,1.3783783783783783,0.972972972972973,1.2432432432432432,1.2162162162162162
bl3,2016,40149,0,2,1.2857142857142858,1.1428571428571428,0.5714285714285714,1
bl3,2016,40165,3,2,1.125,1.25,1.75,1.125
bl3,2016,40170,1,1,1.3333333333333333,1.3333333333333333,1.1111111111111112,1
bl3,2016,40228,0,6,1.3,1.3,1.3,1.2
bl3,2016,40235,0,2,1.1818181818181819,1.7272727272727273,1.2727272727272727,0.9090909090909091
bl3,2016,40246,1,0,1.0833333333333333,1.75,1.4166666666666667,1.0833333333333333
bl3,2016,40283,2,1,1,1.5714285714285714,1.0714285714285714,1.7142857142857142
bl3,2016,40291,1,1,1.0666666666666667,1.5333333333333334,1.1333333333333333,2.066666666666667
bl3,2016,40367,1,1,1.0625,1.5,1.4375,1.125
bl3,2016,40507,1,1,1,1.5384615384615385,1.0769230769230769,1.0769230769230769
bl3,2016,40502,2,0,1,1.5185185185185186,1.4230769230769231,1.2692307692307692
bl3,2016,40487,0,0,1.0357142857142858,1.4642857142857142,0.9285714285714286,0.8214285714285714
bl3,2016,40480,0,0,1,1.4137931034482758,1.103448275862069,1.0689655172413792
bl3,2016,40467,0,3,0.9666666666666667,1.3666666666666667,1.3333333333333333,0.9
bl3,2016,40458,3,0,0.9354838709677419,1.4193548387096775,1.2580645161290323,1.096774193548387
bl3,2016,40437,1,2,1.0303030303030303,1.4545454545454546,1.2424242424242424,1.2727272727272727
bl3,2016,40425,0,1,1.0294117647058822,1.4705882352941178,1.0294117647058822,1.6470588235294117
bl3,2016,40417,2,1,1,1.457142857142857,1.2857142857142858,1.1428571428571428
bl3,2016,40131,1,1,0.4,0.6,1.4,0.6
bl3,2016,40145,1,3,0.5,0.6666666666666666,1.6666666666666667,1.1666666666666667
bl3,2016,40166,5,0,0.75,0.875,1.25,1.5
bl3,2016,40168,3,0,1.2222222222222223,0.7777777777777778,1.5555555555555556,1.8888888888888888
bl3,2016,40231,1,2,1.4,0.7,1.5,1.4
bl3,2016,40563,1,1,1.1904761904761905,1.1428571428571428,1.5238095238095237,1.2380952380952381
bl3,2016,40551,1,0,1.1818181818181819,1.1363636363636365,1.0454545454545454,0.7272727272727273
bl3,2016,40543,0,0,1.173913043478261,1.0869565217391304,1.2173913043478262,1
bl3,2016,40529,1,1,1.125,1.0416666666666667,1.1666666666666667,0.9583333333333334
bl3,2016,40523,0,2,1.12,1.04,1.5416666666666667,1.125
bl3,2016,40503,2,2,1.0740740740740742,1.0740740740740742,1.1481481481481481,1.3333333333333333
bl3,2016,40485,1,1,1.1071428571428572,1.1071428571428572,0.9285714285714286,1.6785714285714286
bl3,2016,40483,1,2,1.103448275862069,1.103448275862069,1.3793103448275863,1.206896551724138
bl3,2016,40230,3,2,1.4,2,1.8,1.2
bl3,2016,40233,0,0,1.5454545454545454,2,1.2727272727272727,1.0909090909090908
bl3,2016,40248,0,3,1.4166666666666667,1.8333333333333333,1.6666666666666667,1.0833333333333333
bl3,2016,40253,0,0,1.3076923076923077,1.9230769230769231,1.2307692307692308,0.8461538461538461
bl3,2016,40284,0,6,1.2142857142857142,1.7857142857142858,1.2857142857142858,1.0714285714285714
bl3,2016,40366,0,3,1.125,2,1,1.6875
bl3,2016,40385,3,1,1.0555555555555556,1.9444444444444444,1.3888888888888888,1.0555555555555556
bl3,2016,40482,1,2,0.9310344827586207,1.6551724137931034,1.3793103448275863,1.2758620689655173
bl3,2016,40465,1,1,0.9333333333333333,1.6666666666666667,0.8666666666666667,0.8333333333333334
bl3,2016,40460,3,0,0.9354838709677419,1.6451612903225807,1.032258064516129,1.032258064516129
bl3,2016,40445,0,4,1,1.59375,1.375,0.90625
bl3,2016,40438,3,1,0.9696969696969697,1.6666666666666667,1.2424242424242424,1.1515151515151516
bl3,2016,40416,1,1,1.0285714285714285,1.6,1.2571428571428571,1.3714285714285714
bl3,2016,40395,0,0,1.027027027027027,1.5405405405405406,1.2432432432432432,1.162162162162162
bl3,2016,40150,2,1,1.8571428571428572,1.1428571428571428,1.8571428571428572,1
bl3,2016,40164,0,2,1.875,1.125,1,1.125
bl3,2016,40171,0,1,1.6666666666666667,1.2222222222222223,1.3333333333333333,1.3333333333333333
bl3,2016,40227,1,1,1.5,1.2,1.3,0.9
bl3,2016,40254,1,1,1.3076923076923077,1.0769230769230769,1.0769230769230769,1.7692307692307692
bl3,2016,40300,0,3,1.6,1,1.3333333333333333,1.2
bl3,2016,40501,0,0,1.56,1.08,0.9629629629629629,0.8518518518518519
bl3,2016,40508,0,2,1.5,1.0384615384615385,1.3703703703703705,1.2962962962962963
bl3,2016,40488,0,2,1.4444444444444444,1.0740740740740742,1.0714285714285714,1.1071428571428572
bl3,2016,40479,0,2,1.3448275862068966,1.0689655172413792,1.3103448275862069,0.9310344827586207
bl3,2016,40446,2,1,1.21875,1.15625,1.25,1.25
bl3,2016,40434,0,0,1.2352941176470589,1.2058823529411764,1.3235294117647058,1.1764705882352942
bl3,2016,40144,2,2,1.3333333333333333,0.6666666666666666,1.8333333333333333,0.8333333333333334
bl3,2016,40151,1,1,1.4285714285714286,0.8571428571428571,1,1.1428571428571428
bl3,2016,40163,1,2,1.375,0.875,1.25,1.375
bl3,2016,40247,0,1,1.3333333333333333,0.8333333333333334,1.0833333333333333,1.9166666666666667
bl3,2016,40285,1,1,1.1428571428571428,0.7857142857142857,1.3571428571428572,1.2142857142857142
bl3,2016,40522,2,0,1.16,0.96,1.48,1.24
bl3,2016,40509,4,1,1.1923076923076923,0.9230769230769231,0.9615384615384616,0.7307692307692307
bl3,2016,40500,2,0,1.2962962962962963,0.9259259259259259,1.1111111111111112,1.0740740740740742
bl3,2016,40459,1,2,1.3870967741935485,0.8709677419354839,1.2258064516129032,1.2580645161290323
bl3,2016,40439,0,1,1.4545454545454546,0.8787878787878788,1.3333333333333333,1.2121212121212122
bl3,2016,40132,1,3,0.8,1.2,1.6,0.8
bl3,2016,40143,1,1,0.8333333333333334,1.5,1,1.1666666666666667
bl3,2016,40234,1,1,1.7272727272727273,1.0909090909090908,1.0909090909090908,2
bl3,2016,40262,1,1,1.7692307692307692,1,1.3846153846153846,1.2307692307692308
bl3,2016,40530,1,3,1.1666666666666667,0.9583333333333334,1.4166666666666667,1.25
bl3,2016,40521,0,1,1.16,1.04,0.96,0.76
bl3,2016,40466,0,1,1.0666666666666667,1.0333333333333334,1.2333333333333334,1.3
bl3,2016,40454,1,1,1,1.09375,1.34375,1.21875
bl3,2016,40229,3,2,1.1,1,1,1.9
bl3,2016,40249,1,0,1.1666666666666667,1,1.5,1.25
bl3,2016,40542,0,1,1,0.7391304347826086,1.434782608695652,1.3043478260869565
bl3,2016,40481,0,2,0.896551724137931,0.7931034482758621,1.206896551724138,1.3448275862068966
bl3,2016,40461,2,1,0.8709677419354839,0.8387096774193549,1.3548387096774193,1.1935483870967742
bl3,2016,40169,2,0,1.7777777777777777,1.3333333333333333,1.1111111111111112,1.8888888888888888
bl3,2016,40242,0,1,1.8181818181818181,1.3636363636363635,1.5454545454545454,1.3636363636363635
bl3,2016,40486,1,2,1.3928571428571428,1.25,1.1785714285714286,1.3571428571428572
bl3,2016,40474,1,0,1.4,1.2666666666666666,1.4,1.2
bl3,2016,40384,1,0,1.411764705882353,1.1176470588235294,1.1176470588235294,1.588235294117647
bl3,2016,40414,0,1,1.2777777777777777,1.1666666666666667,1.25,1.3611111111111112
bl3,2017,46309,1,1,1.2,2.4,1.8,2.6
bl3,2017,46315,0,0,1.1666666666666667,2.1666666666666665,1.3333333333333333,2
bl3,2017,46329,1,0,1,1.8571428571428572,1.1428571428571428,1.4285714285714286
bl3,2017,46333,0,1,1,1.625,1.25,1
bl3,2017,46349,2,0,0.8888888888888888,1.5555555555555556,0.5555555555555556,1.1111111111111112
bl3,2017,46360,0,2,1,1.4,1.3,1.6
bl3,2017,46369,2,0,0.9090909090909091,1.4545454545454546,1.1818181818181819,1.7272727272727273
bl3,2017,46378,1,1,1,1.3333333333333333,1,1.0833333333333333
bl3,2017,46389,1,0,1,1.3076923076923077,1.6923076923076923,1
bl3,2017,46396,3,0,1,1.2142857142857142,1.1428571428571428,0.6428571428571429
bl3,2017,46409,1,0,1.1333333333333333,1.1333333333333333,1,1.6666666666666667
bl3,2017,46414,2,0,1.125,1.0625,2.6875,1.0625
bl3,2017,46429,0,0,1.1764705882352942,1,1.411764705882353,1.3529411764705883
bl3,2017,46432,0,0,1.1111111111111112,0.9444444444444444,1.0555555555555556,1.3888888888888888
bl3,2017,46280,3,1,1.0526315789473684,0.8947368421052632,1.65,1.55
bl3,2017,46261,1,0,1.15,0.9,0.8571428571428571,1.5714285714285714
bl3,2017,46259,1,1,1.1428571428571428,0.8571428571428571,2.090909090909091,0.8181818181818182
bl3,2017,46247,1,0,1.1363636363636365,0.8636363636363636,1.565217391304348,1.173913043478261
bl3,2017,46289,0,0,1.1304347826086956,0.8260869565217391,1.3043478260869565,1.6521739130434783
bl3,2017,46239,1,0,1.0833333333333333,0.7916666666666666,1.375,1.4166666666666667
bl3,2017,46225,2,0,1.08,0.76,1.28,1.96
bl3,2017,46219,1,1,1.1153846153846154,0.7307692307692307,1.1923076923076923,1.5384615384615385
bl3,2017,46203,3,1,1.1111111111111112,0.7407407407407407,1.2692307692307692,1.5
bl3,2017,46199,3,1,1.1785714285714286,0.75,0.5925925925925926,1.5555555555555556
